 ,Area,Mean,Min,Max
582,404,255,255,255
583,422,255,255,255
584,162,255,255,255
585,252,255,255,255
586,413,255,255,255
587,279,255,255,255
588,202,255,255,255
589,121,255,255,255
590,282,255,255,255
591,379,255,255,255
592,210,255,255,255
593,241,255,255,255
594,122,255,255,255
595,127,255,255,255
596,107,255,255,255
597,186,255,255,255
598,117,255,255,255
599,228,255,255,255
600,241,255,255,255
601,230,255,255,255
602,365,255,255,255
603,623,255,255,255
604,219,255,255,255
605,292,255,255,255
606,144,255,255,255
607,320,255,255,255
608,322,255,255,255
609,278,255,255,255
610,245,255,255,255
611,248,255,255,255
612,172,255,255,255
613,264,255,255,255
614,220,255,255,255
615,302,255,255,255
616,448,255,255,255
617,115,255,255,255
618,583,255,255,255
619,275,255,255,255
620,122,255,255,255
621,129,255,255,255
622,226,255,255,255
623,245,255,255,255
624,171,255,255,255
625,213,255,255,255
626,605,255,255,255
627,258,255,255,255
628,182,255,255,255
629,317,255,255,255
630,274,255,255,255
631,242,255,255,255
632,276,255,255,255
633,180,255,255,255
634,80,255,255,255
635,174,255,255,255
636,149,255,255,255
637,541,255,255,255
638,221,255,255,255
639,573,255,255,255
640,196,255,255,255
641,334,255,255,255
642,154,255,255,255
643,283,255,255,255
644,306,255,255,255
645,296,255,255,255
646,581,255,255,255
647,101,255,255,255
648,155,255,255,255
649,182,255,255,255
650,257,255,255,255
651,170,255,255,255
652,319,255,255,255
653,165,255,255,255
654,214,255,255,255
655,152,255,255,255
656,285,255,255,255
657,252,255,255,255
658,261,255,255,255
659,467,255,255,255
660,271,255,255,255
661,3771,255,255,255
662,98,255,255,255
663,282,255,255,255
664,350,255,255,255
665,225,255,255,255
666,148,255,255,255
667,116,255,255,255
668,539,255,255,255
669,298,255,255,255
670,274,255,255,255
671,205,255,255,255
672,89,255,255,255
673,335,255,255,255
674,179,255,255,255
675,150,255,255,255
676,128,255,255,255
677,82,255,255,255
678,463,255,255,255
679,145,255,255,255
680,181,255,255,255
681,318,255,255,255
682,127,255,255,255
683,201,255,255,255
684,128,255,255,255
685,516,255,255,255
686,189,255,255,255
687,170,255,255,255
688,163,255,255,255
689,173,255,255,255
690,122,255,255,255
691,274,255,255,255
692,197,255,255,255
693,238,255,255,255
694,231,255,255,255
695,96,255,255,255
696,633,255,255,255
697,238,255,255,255
698,93,255,255,255
699,136,255,255,255
700,354,255,255,255
701,160,255,255,255
702,219,255,255,255
703,331,255,255,255
704,573,255,255,255
705,247,255,255,255
706,374,255,255,255
707,851,255,255,255
708,185,255,255,255
709,441,255,255,255
710,142,255,255,255
711,175,255,255,255
712,223,255,255,255
713,295,255,255,255
714,409,255,255,255
715,96,255,255,255
716,147,255,255,255
717,322,255,255,255
718,309,255,255,255
719,421,255,255,255
720,129,255,255,255
721,215,255,255,255
722,174,255,255,255
723,157,255,255,255
724,148,255,255,255
725,134,255,255,255
726,366,255,255,255
727,197,255,255,255
728,177,255,255,255
729,195,255,255,255
730,287,255,255,255
731,339,255,255,255
732,265,255,255,255
733,282,255,255,255
734,352,255,255,255
735,1460,255,255,255
736,242,255,255,255
737,382,255,255,255
738,278,255,255,255
739,218,255,255,255
740,163,255,255,255
741,595,255,255,255
742,109,255,255,255
743,123,255,255,255
744,139,255,255,255
745,335,255,255,255
746,119,255,255,255
747,195,255,255,255
748,171,255,255,255
749,303,255,255,255
750,128,255,255,255
751,235,255,255,255
752,143,255,255,255
753,321,255,255,255
754,187,255,255,255
755,309,255,255,255
756,486,255,255,255
757,552,255,255,255
758,439,255,255,255
759,290,255,255,255
760,182,255,255,255
761,484,255,255,255
762,367,255,255,255
763,270,255,255,255
764,186,255,255,255
765,234,255,255,255
766,265,255,255,255
767,317,255,255,255
768,186,255,255,255
769,304,255,255,255
770,683,255,255,255
771,351,255,255,255
772,320,255,255,255
773,158,255,255,255
774,357,255,255,255
775,131,255,255,255
776,308,255,255,255
777,701,255,255,255
778,264,255,255,255
779,288,255,255,255
780,349,255,255,255
781,288,255,255,255
782,267,255,255,255
783,191,255,255,255
784,258,255,255,255
785,257,255,255,255
786,224,255,255,255
787,3110,255,255,255
788,295,255,255,255
789,203,255,255,255
790,131,255,255,255
791,268,255,255,255
792,271,255,255,255
793,85,255,255,255
794,295,255,255,255
795,273,255,255,255
796,224,255,255,255
797,189,255,255,255
798,438,255,255,255
799,311,255,255,255
800,216,255,255,255
801,856,255,255,255
802,294,255,255,255
803,504,255,255,255
804,278,255,255,255
805,207,255,255,255
806,134,255,255,255
807,213,255,255,255
808,166,255,255,255
809,245,255,255,255
810,332,255,255,255
811,463,255,255,255
812,145,255,255,255
813,279,255,255,255
814,258,255,255,255
815,375,255,255,255
816,337,255,255,255
817,101,255,255,255
818,323,255,255,255
819,262,255,255,255
820,168,255,255,255
821,245,255,255,255
822,204,255,255,255
823,150,255,255,255
824,425,255,255,255
825,1165,255,255,255
826,348,255,255,255
827,152,255,255,255
828,111,255,255,255
829,334,255,255,255
830,321,255,255,255
831,193,255,255,255
832,605,255,255,255
833,336,255,255,255
834,291,255,255,255
835,390,255,255,255
836,318,255,255,255
837,390,255,255,255
838,139,255,255,255
839,187,255,255,255
840,263,255,255,255
841,245,255,255,255
842,173,255,255,255
843,294,255,255,255
844,209,255,255,255
845,145,255,255,255
846,204,255,255,255
847,291,255,255,255
848,78,255,255,255
849,87,255,255,255
850,140,255,255,255
851,190,255,255,255
852,642,255,255,255
853,278,255,255,255
854,207,255,255,255
855,228,255,255,255
856,330,255,255,255
857,313,255,255,255
858,440,255,255,255
859,137,255,255,255
860,675,255,255,255
861,230,255,255,255
862,349,255,255,255
863,351,255,255,255
864,286,255,255,255
865,327,255,255,255
866,392,255,255,255
867,281,255,255,255
868,969,255,255,255
869,186,255,255,255
870,302,255,255,255
871,88,255,255,255
872,236,255,255,255
873,137,255,255,255
874,294,255,255,255
875,261,255,255,255
876,183,255,255,255
877,331,255,255,255
878,209,255,255,255
879,213,255,255,255
880,415,255,255,255
881,197,255,255,255
882,204,255,255,255
883,306,255,255,255
884,276,255,255,255
885,165,255,255,255
886,70,255,255,255
887,151,255,255,255
888,230,255,255,255
889,200,255,255,255
890,235,255,255,255
891,165,255,255,255
892,245,255,255,255
893,389,255,255,255
894,338,255,255,255
895,92,255,255,255
896,533,255,255,255
897,174,255,255,255
898,191,255,255,255
899,317,255,255,255
900,158,255,255,255
901,74,255,255,255
902,346,255,255,255
903,229,255,255,255
904,331,255,255,255
905,450,255,255,255
906,449,255,255,255
907,265,255,255,255
908,487,255,255,255
909,246,255,255,255
910,235,255,255,255
911,672,255,255,255
912,186,255,255,255
913,315,255,255,255
914,182,255,255,255
915,259,255,255,255
916,96,255,255,255
917,277,255,255,255
918,310,255,255,255
919,544,255,255,255
920,192,255,255,255
921,241,255,255,255
922,491,255,255,255
923,250,255,255,255
924,207,255,255,255
925,256,255,255,255
926,289,255,255,255
927,157,255,255,255
928,329,255,255,255
929,480,255,255,255
930,743,255,255,255
931,856,255,255,255
932,255,255,255,255
933,194,255,255,255
934,209,255,255,255
935,470,255,255,255
936,140,255,255,255
937,130,255,255,255
938,450,255,255,255
939,287,255,255,255
940,172,255,255,255
941,198,255,255,255
942,252,255,255,255
943,156,255,255,255
944,968,255,255,255
945,284,255,255,255
946,228,255,255,255
947,226,255,255,255
948,324,255,255,255
949,199,255,255,255
950,89,255,255,255
951,439,255,255,255
952,469,255,255,255
953,214,255,255,255
954,132,255,255,255
955,438,255,255,255
956,230,255,255,255
957,260,255,255,255
958,163,255,255,255
959,269,255,255,255
960,210,255,255,255
961,226,255,255,255
962,241,255,255,255
963,265,255,255,255
964,217,255,255,255
965,392,255,255,255
966,252,255,255,255
967,145,255,255,255
968,296,255,255,255
969,338,255,255,255
970,241,255,255,255
971,394,255,255,255
972,75,255,255,255
973,171,255,255,255
974,201,255,255,255
975,277,255,255,255
976,70,255,255,255
977,417,255,255,255
978,155,255,255,255
979,233,255,255,255
980,246,255,255,255
981,209,255,255,255
982,282,255,255,255
983,264,255,255,255
984,191,255,255,255
985,251,255,255,255
986,312,255,255,255
987,144,255,255,255
988,177,255,255,255
989,113,255,255,255
990,172,255,255,255
991,174,255,255,255
992,326,255,255,255
993,168,255,255,255
994,935,255,255,255
995,428,255,255,255
996,246,255,255,255
997,329,255,255,255
998,332,255,255,255
999,293,255,255,255
1000,189,255,255,255
1001,238,255,255,255
1002,145,255,255,255
